id;  nombre; email; teléfono
1;Ana López;ana.lopez@ejemplo.com;+34 611 111 111
2;Carlos Pérez;carlos.perez@ejemplo.com;+34 611 111 112
3;Lucía Gómez;lucia.gomez@ejemplo.com;+34 611 111 113
4;Marcos Díaz;marcos.diaz@ejemplo.com;+34 611 111 114
5;Sofía Ramírez;sofia.ramirez@ejemplo.com;+34 611 111 115
6;Javier Torres;javier.torres@ejemplo.com;+34 611 111 116
7;Elena Martín;elena.martin@ejemplo.com;+34 611 111 117
8;Raúl Navarro;raul.navarro@ejemplo.com;+34 611 111 118
9;Patricia Cruz;patricia.cruz@ejemplo.com;+34 611 111 119
10;Fernando Ruiz;fernando.ruiz@ejemplo.com;+34 611 111 120
